active;cases;casesPerOneMillion;country;critical;date;deaths;recovered;todayCases;todayDeaths
10716;80849;;China;3226;2020-03-15;3199;66934;5;0
20603;24747;;Italy;1672;2020-03-15;1809;2335;3590;368
8624;13938;;Iran;0;2020-03-15;724;4590;1209;113
7253;8162;;S. Korea;59;2020-03-15;75;834;76;3
7034;7843;;Spain;272;2020-03-15;292;517;1452;96
5756;5813;;Germany;2;2020-03-15;11;46;1214;2
5284;5423;;France;400;2020-03-15;127;12;924;36
3540;3667;;USA;10;2020-03-15;68;59;724;11
2199;2217;;Switzerland;0;2020-03-15;14;4;842;1
1336;1391;;UK;20;2020-03-15;35;20;251;14
1250;1254;;Norway;27;2020-03-15;3;1;145;0
1113;1135;;Netherlands;45;2020-03-15;20;2;176;8
1036;1040;;Sweden;2;2020-03-15;3;1;79;1
881;886;;Belgium;33;2020-03-15;4;1;197;0
861;864;;Denmark;2;2020-03-15;2;1;28;1
853;860;;Austria;1;2020-03-15;1;6;205;0
671;839;;Japan;36;2020-03-15;24;144;35;2
233;696;;Diamond Princess;15;2020-03-15;7;456;0;0
386;428;;Malaysia;9;2020-03-15;0;42;190;0
397;401;;Qatar;0;2020-03-15;0;4;64;0
329;341;;Canada;1;2020-03-15;1;11;89;0
319;331;;Greece;5;2020-03-15;4;8;103;1
268;300;;Australia;1;2020-03-15;5;27;52;2
293;293;;Czechia;2;2020-03-15;0;0;104;0
243;245;;Portugal;9;2020-03-15;0;2;76;0
234;244;;Finland;0;2020-03-15;0;10;19;0
121;226;;Singapore;11;2020-03-15;0;105;14;0
218;219;;Slovenia;3;2020-03-15;1;0;38;0
137;214;;Bahrain;2;2020-03-15;0;77;2;0
209;213;;Israel;2;2020-03-15;0;4;20;0
199;200;;Brazil;2;2020-03-15;0;1;49;0
180;180;;Iceland;1;2020-03-15;0;0;19;0
170;171;;Estonia;0;2020-03-15;0;1;56;0
167;170;;Ireland;6;2020-03-15;2;1;41;0
64;149;;Hong Kong;4;2020-03-15;4;81;7;0
127;140;;Philippines;1;2020-03-15;11;2;29;3
130;139;;Romania;1;2020-03-15;0;9;16;0
97;126;;Egypt;0;2020-03-15;2;27;16;0
109;125;;Poland;3;2020-03-15;3;13;21;0
88;124;;Iraq;0;2020-03-15;10;26;14;0
116;118;;Saudi Arabia;0;2020-03-15;0;2;15;0
104;117;;Indonesia;0;2020-03-15;5;8;21;0
78;114;;Thailand;1;2020-03-15;1;35;32;0
97;112;;India;0;2020-03-15;2;13;12;0
103;112;;Kuwait;4;2020-03-15;0;9;8;0
98;109;;San Marino;11;2020-03-15;7;4;8;2
95;99;;Lebanon;3;2020-03-15;3;1;6;0
78;98;;UAE;2;2020-03-15;0;20;13;0
76;77;;Luxembourg;0;2020-03-15;1;0;26;0
75;75;;Chile;0;2020-03-15;0;0;14;0
71;71;;Peru;0;2020-03-15;0;0;28;0
55;63;;Russia;0;2020-03-15;0;8;4;0
61;61;;Slovakia;0;2020-03-15;0;0;17;0
61;61;;South Africa;0;2020-03-15;0;0;23;0
38;59;;Taiwan;0;2020-03-15;1;20;6;0
40;56;;Vietnam;0;2020-03-15;0;16;3;0
51;53;;Pakistan;0;2020-03-15;0;2;20;0
49;51;;Bulgaria;0;2020-03-15;2;0;10;0
50;50;;Brunei;0;2020-03-15;0;0;10;0
47;49;;Croatia;0;2020-03-15;0;2;10;0
34;48;;Algeria;0;2020-03-15;4;10;9;1
47;48;;Serbia;1;2020-03-15;0;1;2;0
44;46;;Argentina;1;2020-03-15;2;0;1;0
42;43;;Panama;0;2020-03-15;1;0;0;0
39;43;;Mexico;1;2020-03-15;0;4;17;0
41;42;;Albania;2;2020-03-15;1;0;4;0
38;38;;Palestine;0;2020-03-15;0;0;0;0
35;37;;Ecuador;1;2020-03-15;2;0;9;0
35;35;;Costa Rica;3;2020-03-15;0;0;8;0
34;34;;Colombia;0;2020-03-15;0;0;10;0
32;33;;Georgia;1;2020-03-15;0;1;3;0
33;33;;Cyprus;1;2020-03-15;0;0;7;0
30;32;;Hungary;0;2020-03-15;1;1;2;1
29;30;;Latvia;0;2020-03-15;0;1;4;0
26;28;;Morocco;1;2020-03-15;1;1;10;0
24;27;;Belarus;0;2020-03-15;0;3;0;0
26;26;;Armenia;0;2020-03-15;0;0;6;0
22;24;;Senegal;0;2020-03-15;0;2;0;0
24;24;;Bosnia and Herzegovina;0;2020-03-15;0;0;3;0
16;23;;Azerbaijan;0;2020-03-15;1;6;4;0
23;23;;Moldova;0;2020-03-15;0;0;11;0
13;22;;Oman;0;2020-03-15;0;9;2;0
19;21;;Malta;0;2020-03-15;0;2;3;0
20;20;;Tunisia;2;2020-03-15;0;0;2;0
18;19;;North Macedonia;0;2020-03-15;0;1;0;0
17;18;;Sri Lanka;0;2020-03-15;0;1;8;0
18;18;;Turkey;0;2020-03-15;0;0;12;0
17;17;;Venezuela;0;2020-03-15;0;0;15;0
15;16;;Afghanistan;0;2020-03-15;0;1;5;0
13;14;;Lithuania;0;2020-03-15;0;1;5;0
13;13;;Maldives;0;2020-03-15;0;0;3;0
11;12;;Cambodia;0;2020-03-15;0;1;5;0
1;11;;Macao;0;2020-03-15;0;10;1;0
11;11;;Dominican Republic;0;2020-03-15;0;0;0;0
11;11;;Faeroe Islands;0;2020-03-15;0;0;1;0
9;10;;Jordan;0;2020-03-15;0;1;9;0
10;10;;Bolivia;0;2020-03-15;0;0;0;0
8;10;;Jamaica;0;2020-03-15;0;2;2;0
10;10;;Martinique;0;2020-03-15;0;0;0;0
9;9;;Kazakhstan;0;2020-03-15;0;0;3;0
8;8;;New Zealand;0;2020-03-15;0;0;0;0
7;7;;French Guiana;0;2020-03-15;0;0;0;0
7;7;;Liechtenstein;0;2020-03-15;0;0;3;0
7;7;;Paraguay;1;2020-03-15;0;0;0;0
7;7;;Réunion;0;2020-03-15;0;0;1;0
6;6;;Ghana;0;2020-03-15;0;0;4;0
6;6;;Uruguay;0;2020-03-15;0;0;0;0
5;5;;Andorra;0;2020-03-15;0;0;4;0
3;5;;Bangladesh;0;2020-03-15;0;2;0;0
5;5;;Puerto Rico;0;2020-03-15;0;0;1;0
5;5;;Rwanda;0;2020-03-15;0;0;4;0
3;4;;Guyana;0;2020-03-15;1;0;3;0
4;4;;Cameroon;0;2020-03-15;0;0;1;0
4;4;;Ivory Coast;0;2020-03-15;0;0;2;0
4;4;;Cuba;0;2020-03-15;0;0;0;0
4;4;;Ethiopia;0;2020-03-15;0;0;3;0
4;4;;Uzbekistan;0;2020-03-15;0;0;4;0
2;3;;Ukraine;0;2020-03-15;1;0;0;0
3;3;;Burkina Faso;0;2020-03-15;0;0;1;0
3;3;;Channel Islands;0;2020-03-15;0;0;0;0
3;3;;French Polynesia;0;2020-03-15;0;0;0;0
3;3;;Guadeloupe;0;2020-03-15;0;0;0;0
3;3;;Guam;0;2020-03-15;0;0;3;0
3;3;;Honduras;0;2020-03-15;0;0;0;0
3;3;;Kenya;0;2020-03-15;0;0;2;0
3;3;;Seychelles;0;2020-03-15;0;0;1;0
2;2;;Monaco;0;2020-03-15;0;0;0;0
1;2;;Nigeria;0;2020-03-15;0;1;0;0
2;2;;Aruba;0;2020-03-15;0;0;0;0
2;2;;Curaçao;0;2020-03-15;0;0;0;0
2;2;;DRC;0;2020-03-15;0;0;0;0
2;2;;Namibia;0;2020-03-15;0;0;0;0
2;2;;Saint Lucia;0;2020-03-15;0;0;1;0
2;2;;Saint Martin;0;2020-03-15;0;0;0;0
2;2;;Trinidad and Tobago;0;2020-03-15;0;0;0;0
0;1;;Guatemala;0;2020-03-15;1;0;0;1
0;1;;Sudan;0;2020-03-15;1;0;0;0
0;1;;Nepal;0;2020-03-15;0;1;0;0
1;1;;Antigua and Barbuda;0;2020-03-15;0;0;0;0
1;1;;Bahamas;0;2020-03-15;0;0;1;0
1;1;;Bhutan;0;2020-03-15;0;0;0;0
1;1;;Cayman Islands;0;2020-03-15;0;0;0;0
1;1;;CAR;0;2020-03-15;0;0;1;0
